timestamp,mmsi,latitude,longitude,sog,cog,true_heading,navigational_status
2025-05-10 16:32:44.63816817 +0000 UTC,477067900,33.75461333333333,-118.21409666666666,0,127.2,0,5
2025-05-10 16:32:48.866342928 +0000 UTC,368024740,33.722858333333335,-118.22237666666666,3.3,355.8,352,0
2025-05-10 16:32:49.485845996 +0000 UTC,338525791,33.77110833333333,-118.21383833333333,0,340.2,511,5
2025-05-10 16:32:51.704840745 +0000 UTC,367124980,33.734521666666666,-118.27088499999999,0,26.3,511,0
2025-05-10 16:32:53.358981772 +0000 UTC,367401030,33.739835,-118.27823333333335,0.1,126.8,7,0
2025-05-10 16:32:54.011526785 +0000 UTC,366998840,33.763933333333334,-118.25681666666667,0.2,87.8,309,0
2025-05-10 16:32:54.559355196 +0000 UTC,368133450,33.73030833333333,-118.26255166666667,0,323.5,251,12
2025-05-10 16:32:54.764557707 +0000 UTC,367393270,33.735038333333335,-118.27105666666667,0,235.5,511,0
2025-05-10 16:32:56.505695411 +0000 UTC,367044560,33.76279666666667,-118.26562333333332,0,241.1,511,15
2025-05-10 16:32:57.146393185 +0000 UTC,368171260,33.74104833333333,-118.27643166666667,5.7,187.7,189,12
2025-05-10 16:32:57.37418666 +0000 UTC,367027570,33.75393666666667,-118.22433666666667,0,240.9,254,0
2025-05-10 16:32:57.454729104 +0000 UTC,368226970,33.740775,-118.27831333333333,0.1,267.9,511,0
2025-05-10 16:32:57.927417426 +0000 UTC,367034960,33.767471666666665,-118.21696333333333,0.1,280.6,511,0
2025-05-10 16:32:58.488621867 +0000 UTC,338140889,33.76999666666667,-118.21239999999999,0,248.3,511,15
2025-05-10 16:32:58.536610114 +0000 UTC,367580930,33.76244333333333,-118.1954,0,360,511,0
2025-05-10 16:32:59.353843906 +0000 UTC,367192940,33.74838333333334,-118.27412333333334,0,241.6,511,0
2025-05-10 16:32:59.452747307 +0000 UTC,368282780,33.72553333333333,-118.27531333333333,0.1,249.8,511,5
2025-05-10 16:32:59.815978592 +0000 UTC,367035570,33.73343666666667,-118.26351166666667,0,249.6,178,3
2025-05-10 16:33:00.353335006 +0000 UTC,367724740,33.737755,-118.18004333333333,11.4,176.5,511,15
2025-05-10 16:33:03.758607461 +0000 UTC,367704150,33.762233333333334,-118.19549333333333,0,360,511,0
2025-05-10 16:33:05.197968747 +0000 UTC,366892000,33.74051,-118.21178666666667,6.3,321.8,322,0
2025-05-10 16:33:05.426092429 +0000 UTC,311001627,33.730248333333336,-118.22269333333334,1.6,8.9,26,0
2025-05-10 16:33:09.187922919 +0000 UTC,367698890,33.74629,-118.27312833333333,6.2,210,209,5
2025-05-10 16:33:09.326072677 +0000 UTC,367754810,33.771166666666666,-118.21308166666667,0,69.1,336,0
2025-05-10 16:33:09.813109348 +0000 UTC,367192940,33.74838333333334,-118.274125,0.1,241.5,511,0
2025-05-10 16:33:10.398352421 +0000 UTC,367133910,33.765478333333334,-118.25565833333333,0,265.9,315,0
2025-05-10 16:33:10.506529977 +0000 UTC,338602000,33.74776333333333,-118.17265333333333,0.3,254,34,15
2025-05-10 16:33:10.649571135 +0000 UTC,368064650,33.723755000000004,-118.27956166666667,0,360,511,15
2025-05-10 16:33:11.166113715 +0000 UTC,368010330,33.742533333333334,-118.21356333333333,6.3,319.9,310,0
2025-05-10 16:33:11.863349837 +0000 UTC,367661930,33.72945833333333,-118.223115,1.7,347,31,0
2025-05-10 16:33:12.654072589 +0000 UTC,367625810,33.739781666666666,-118.27794833333334,0,310.2,11,0
2025-05-10 16:33:13.410569246 +0000 UTC,636022007,33.741753333333335,-118.213205,6.3,317.6,321,0
2025-05-10 16:33:13.640261103 +0000 UTC,368133450,33.730291666666666,-118.26256333333335,0.1,323.5,251,12
2025-05-10 16:33:16.190052845 +0000 UTC,367034320,33.761383333333335,-118.19559333333333,0,360,511,15
2025-05-10 16:33:17.479833576 +0000 UTC,367199310,33.763045,-118.19946833333333,0,251.2,511,15
2025-05-10 16:33:17.707910768 +0000 UTC,367693690,33.7533,-118.22384666666667,0,237.6,252,5
2025-05-10 16:33:20.759522802 +0000 UTC,308369000,33.74595166666667,-118.21146999999999,0,131.4,128,5
2025-05-10 16:33:25.059417063 +0000 UTC,366998840,33.763933333333334,-118.25681666666667,0.2,84.4,309,0
2025-05-10 16:33:26.092139411 +0000 UTC,367740790,33.75634,-118.27401499999999,0,154.2,152,5
2025-05-10 16:33:26.23388087 +0000 UTC,367569830,33.76383,-118.25696166666667,0,315.3,206,0
2025-05-10 16:33:28.809974617 +0000 UTC,338145691,33.726258333333334,-118.26906333333334,0,92.1,511,0
2025-05-10 16:33:31.000724825 +0000 UTC,372191000,33.743608333333334,-118.20788333333333,0,175.2,310,5
2025-05-10 16:33:32.28249046 +0000 UTC,367625810,33.73976666666667,-118.27796,0,310.2,12,0
2025-05-10 16:33:34.214071135 +0000 UTC,367461940,33.744324999999996,-118.22556666666667,0,293.5,511,3
2025-05-10 16:33:34.239448692 +0000 UTC,367661930,33.72961,-118.22318166666668,1.4,340.7,33,0
2025-05-10 16:33:34.333574046 +0000 UTC,368024740,33.72457166666667,-118.22386833333333,15.7,334.1,340,0
2025-05-10 16:33:34.720157308 +0000 UTC,368351000,33.770455,-118.21285666666667,0,67.6,246,5
2025-05-10 16:33:35.545752786 +0000 UTC,366892000,33.74114333333333,-118.21251666666667,6.3,311.7,313,0
2025-05-10 16:33:36.212945513 +0000 UTC,367533290,33.73448666666666,-118.27070166666667,0.1,245.8,511,0
2025-05-10 16:33:37.918283254 +0000 UTC,636024673,33.729503333333334,-118.25676666666666,0,296.8,251,5
2025-05-10 16:33:39.192328597 +0000 UTC,366978690,33.73679333333333,-118.17860833333334,6.9,3.6,1,5
2025-05-10 16:33:42.255012141 +0000 UTC,367452280,33.73520833333333,-118.26900666666667,0,360,511,0
2025-05-10 16:33:42.528879106 +0000 UTC,368136950,33.740233333333336,-118.27813333333333,0,3.7,190,0
2025-05-10 16:33:42.586595253 +0000 UTC,367017440,33.770891666666664,-118.211685,0,248.1,511,0
2025-05-10 16:33:43.311038776 +0000 UTC,368171260,33.739844999999995,-118.27659666666666,5.7,186.4,188,12
2025-05-10 16:33:44.116173239 +0000 UTC,366926740,33.728316666666665,-118.27433333333333,0,255.4,307,0
2025-05-10 16:33:46.027260458 +0000 UTC,538010541,33.74975666666667,-118.20889000000001,0,289.3,58,5
2025-05-10 16:33:46.183593377 +0000 UTC,368084540,33.73985166666667,-118.27805333333335,0.1,270.2,8,0
2025-05-10 16:33:46.974578356 +0000 UTC,368375410,33.763513333333336,-118.26052,0,360,178,5
2025-05-10 16:33:48.869276195 +0000 UTC,368024740,33.72577333333333,-118.22436666666667,18.2,341.8,349,0
2025-05-10 16:33:51.642466225 +0000 UTC,367124980,33.73453666666667,-118.27089500000001,0.1,270.7,511,0
2025-05-10 16:33:53.358620728 +0000 UTC,367401030,33.739799999999995,-118.27821333333333,0,348.8,8,0
